

>>>>>>>>>>>>>>>>>>>>>>rootつき形状データ>>>>>>>>>>>>>>>>>>>
Root側翼型,EPPLER856
補間で無視した空力設計部分 -> 半径18.2625%～21.0546%
プランク厚み,1.5,[mm]
余裕,0.7,[mm]
前縁カット,9,[mm]
桁位置,36,[%]
桁形状,(r=50、φ24.1),(r=1505、φ6.15)
,リブ番号,半径[mm],翼弦長[mm],捩り角[deg],桁外半径[mm],翼厚増分[-],root側翼型の割合[-]
<Root>,R00,50,80,80.1968,12.05,1.98846,1
,R01,65.7121,82.31,78.9022,11.9531,1.9391,0.979004
,R02,81.4242,84.668,77.6081,11.8562,1.8919,0.957572
,R03,97.1363,87.122,76.315,11.7592,1.84616,0.935268
,R04,112.848,89.72,75.0234,11.6623,1.80138,0.911655
,R05,128.56,92.5098,73.7338,11.5654,1.75724,0.886298
,R06,144.273,95.5397,72.4466,11.4685,1.71355,0.85876
,R07,159.985,98.8574,71.1624,11.3716,1.67031,0.828605
,R08,175.697,102.511,69.8817,11.2747,1.62762,0.795396
,R09,191.409,106.549,68.6049,11.1777,1.58574,0.758699
,R10,207.121,111.018,67.3325,11.0808,1.54504,0.718076
,R11,222.833,115.967,66.0651,10.9839,1.50603,0.673092
,R12,238.545,121.444,64.8031,10.887,1.4693,0.62331
,R13,254.257,127.497,63.5471,10.7901,1.4356,0.568294
,R14,269.969,134.174,62.2974,10.6931,1.4058,0.507609
,R15,285.681,141.523,61.0547,10.5962,1.38095,0.440817
,R16,301.393,149.591,59.8194,10.4993,1.36235,0.367483
,R17,317.105,158.428,58.592,10.4024,1.35164,0.28717
,R18,332.818,168.08,57.373,10.3055,1.35104,0.199443
,R19,348.53,178.595,56.1629,10.2086,1.36365,0.103865
<Profile>,P08,364.242,190.023,54.9621,10.1116,1.39414,0
,P09,383.493,204.205,53.5087,9.99289,1.28481,0
,P10,405.079,215.816,51.9306,9.85974,1.20241,0
,P11,428.914,225.112,50.2844,9.71272,1.1387,0
,P12,454.904,232.255,48.5794,9.5524,1.08883,0
,P13,482.946,239.24,46.8481,9.37942,1.04148,0
,P14,512.931,246.939,45.1092,9.19447,1,0
,P15,544.739,252.572,43.3703,8.99826,1,0
,P16,578.245,256.244,41.6495,8.79158,1,0
,P17,613.317,258.11,39.9621,8.57524,1,0
,P18,649.816,258.372,38.3217,8.3501,1,0
,P19,687.599,257.939,36.7564,8.11704,1,0
,P20,726.516,256.529,35.2627,7.87699,1,0
,P21,766.414,253.869,33.8368,7.63089,1,0
,P22,807.134,250.08,32.4821,7.3797,1,0
,P23,848.518,245.296,31.2005,7.12444,1,0
,P24,890.4,239.65,29.9923,6.86609,1,0
,P25,932.616,233.268,28.8571,6.60568,1,0
,P26,975,226.269,27.7932,6.34424,1,0
,P27,1017.38,218.758,26.7986,6.08281,1,0
,P28,1059.6,210.83,25.8708,5.8224,1,0
,P29,1101.48,202.568,25.0071,5.56405,1,0
,P30,1142.87,194.045,24.2044,5.30878,1,0
,P31,1183.59,185.325,23.4598,5.0576,1,0
,P32,1223.48,176.466,22.7702,4.8115,1,0
,P33,1262.4,167.521,22.1326,4.57144,1,0
,P34,1300.18,158.541,21.5442,4.33839,1,0
,P35,1336.68,149.59,21.0023,4.11324,1,0
,P36,1371.76,141.223,20.5248,3.89691,1,0
,P37,1405.26,133.03,20.0971,3.69023,1,0
,P38,1437.07,124.817,19.7102,3.49402,1,0
,P39,1467.05,116.537,19.3623,3.30907,1.01721,0
,P40,1495.1,108.153,19.0499,3.13609,1.06165,0
,P41,1521.09,99.6493,18.7728,2.97577,1.11763,0
,P42,1544.92,92.849,18.5483,2.82875,1.16541,0
,P43,1566.51,85.9425,18.367,2.6956,1.22573,0
,P44,1585.76,78.6501,18.228,2.57685,1.30689,0
,P45,1602.6,70.7983,18.1319,2.47297,1.42026,0
,P46,1616.96,61.9819,18.0194,2.38437,1.59152,0
,P47,1628.79,51.2639,17.604,2.31139,1.89363,0
,P48,1638.04,39.7766,17.1861,2.25433,2.40964,0
,P49,1644.68,27.7298,16.8818,2.21342,3.42472,0
,P50,1648.67,14.7515,16.5747,2.1888,6.40189,0
