

>>>>>>>>>>>>>>>>>>>>>>rootつき形状データ>>>>>>>>>>>>>>>>>>>
Root側翼型,dae41
補間で無視した空力設計部分 -> 半径10.0888%～10.7971%
プランク厚み,1,[mm]
余裕,1,[mm]
前縁カット,10,[mm]
桁位置,36,[%]
桁形状,(r=10、φ25),(r=1000、φ3)
,リブ番号,半径[mm],翼弦長[mm],捩り角[deg],桁外半径[mm],翼厚増分[-],root側翼型の割合[-]
<Root>,R00,50,50,82.0729,12.0556,4.86339,1
,R01,56.0603,50.8166,81.6599,11.9882,4.77296,0.988609
,R02,62.1206,51.6749,81.2457,11.9209,4.6821,0.976638
,R03,68.181,52.6164,80.8291,11.8535,4.58794,0.963505
,R04,74.2413,53.6828,80.4089,11.7862,4.48812,0.948631
,R05,80.3016,54.9157,79.9841,11.7189,4.38085,0.931434
,R06,86.3619,56.3567,79.5533,11.6515,4.26491,0.911335
,R07,92.4222,58.0475,79.1153,11.5842,4.13973,0.887752
,R08,98.4825,60.0296,78.6691,11.5169,4.00539,0.860104
,R09,104.543,62.3447,78.2135,11.4495,3.86258,0.827812
,R10,110.603,65.0344,77.7471,11.3822,3.71254,0.790295
,R11,116.664,68.1404,77.2689,11.3148,3.55698,0.746972
,R12,122.724,71.7043,76.7777,11.2475,3.39793,0.697262
,R13,128.784,75.7676,76.2723,11.1802,3.23759,0.640585
,R14,134.844,80.372,75.7514,11.1128,3.07819,0.576361
,R15,140.905,85.5592,75.214,11.0455,2.92191,0.504008
,R16,146.965,91.3708,74.6589,10.9782,2.7707,0.422946
,R17,153.025,97.8484,74.0847,10.9108,2.62629,0.332595
,R18,159.086,105.034,73.4905,10.8435,2.49014,0.232374
,R19,165.146,112.968,72.8749,10.7762,2.36345,0.121703
<Profile>,P05,171.206,121.693,72.2368,10.7088,2.24717,0
,P06,183.037,139.86,71.025,10.5774,1.93506,0
,P07,197.401,157.777,69.8979,10.4178,1.69355,0
,P08,214.242,172.269,68.2958,10.2306,1.52771,0
,P09,233.493,184.764,66.7121,10.0167,1.39948,0
,P10,255.079,201.297,64.7804,9.7769,1.2589,0
,P11,278.914,220.239,62.7915,9.51207,1.12475,0
,P12,304.904,237.175,60.6457,9.22329,1.01824,0
,P13,332.946,252.014,58.442,8.91171,1,0
,P14,362.931,266.149,56.186,8.57855,1,0
,P15,394.739,280.148,53.9196,8.22512,1,0
,P16,428.245,291.777,51.6718,7.85283,1,0
,P17,463.317,300.956,49.4661,7.46315,1,0
,P18,499.816,307.511,47.3186,7.0576,1,0
,P19,537.599,311.585,45.2473,6.63779,1,0
,P20,576.516,313.399,43.2638,6.20538,1,0
,P21,616.414,313.122,41.3761,5.76207,1,0
,P22,657.134,310.949,39.5895,5.30962,1,0
,P23,698.518,307.088,37.9064,4.8498,1,0
,P24,740.4,301.747,36.3272,4.38444,1,0
,P25,782.616,295.13,34.8506,3.91537,1,0
,P26,825,287.426,33.4741,3.44444,1,0
,P27,867.384,278.807,32.1941,2.97352,1,0
,P28,909.6,269.429,31.0067,2.50445,1,0
,P29,951.482,259.426,29.9073,2.03908,1,0
,P30,992.866,248.916,28.8913,1.57927,1,0
,P31,1033.59,238,27.9541,1.12682,1,0
,P32,1073.48,226.761,27.0911,0.68351,1,0
,P33,1112.4,215.27,26.2978,0.2511,1,0
,P34,1150.18,203.585,25.57,0.1,1,0
,P35,1186.68,191.754,24.9039,0.1,1,0
,P36,1221.76,179.813,24.2957,0.1,1,0
,P37,1255.26,167.792,23.7421,0.1,1,0
,P38,1287.07,155.712,23.2399,0.1,1,0
,P39,1317.05,143.554,22.7865,0.1,1,0
,P40,1345.1,131.273,22.3764,0.1,1,0
,P41,1371.09,118.98,22.0104,0.1,1,0
,P42,1394.92,106.67,21.685,0.1,1,0
,P43,1416.51,95.5506,21.3871,0.1,1,0
,P44,1435.76,84.554,21.1218,0.1,1,0
,P45,1452.6,73.1972,20.8657,0.1,1,0
,P46,1466.96,63.1479,20.5591,0.1,1,0
,P47,1478.79,55.5634,20.3902,0.1,1,0
,P48,1488.04,45.5973,19.8972,0.1,1,0
,P49,1494.68,35.3761,19.9044,0.1,1.27734,0
,P50,1498.67,21.9706,18.9759,0.1,2.05672,0
